Freq.	V(n001)	V(n002)
1.99526231496889e+003	(2.15836235693974e+001dB,9.89670628297828e-004°)	(8.63312113253347e+001dB,9.04146003291781e+001°)
2.08929613085405e+003	(2.15836236688995e+001dB,9.45132838066285e-004°)	(8.59312330456381e+001dB,9.03943037619074e+001°)
2.18776162394956e+003	(2.15836237596473e+001dB,9.02598968994623e-004°)	(8.55312528474514e+001dB,9.03748434443048e+001°)
2.29086765276779e+003	(2.15836238424111e+001dB,8.61978908431740e-004°)	(8.51312708988477e+001dB,9.03561781141045e+001°)
2.39883291901950e+003	(2.15836239178931e+001dB,8.23186589316074e-004°)	(8.47312873530451e+001dB,9.03382681932935e+001°)
2.51188643150959e+003	(2.15836239867341e+001dB,7.86139809403195e-004°)	(8.43313023497064e+001dB,9.03210757044220e+001°)
2.63026799189540e+003	(2.15836240495182e+001dB,7.50760058460643e-004°)	(8.39313160161243e+001dB,9.03045641902756e+001°)
2.75422870333818e+003	(2.15836241067783e+001dB,7.16972353093187e-004°)	(8.35313284683015e+001dB,9.02886986367426e+001°)
2.88403150312662e+003	(2.15836241590004e+001dB,6.84705078874084e-004°)	(8.31313398119349e+001dB,9.02734453987168e+001°)
3.01995172040203e+003	(2.15836242066278e+001dB,6.53889839469992e-004°)	(8.27313501433126e+001dB,9.02587721288822e+001°)
3.16227766016840e+003	(2.15836242500647e+001dB,6.24461312459192e-004°)	(8.23313595501313e+001dB,9.02446477092305e+001°)
3.31131121482593e+003	(2.15836242896798e+001dB,5.96357111554397e-004°)	(8.19313681122400e+001dB,9.02310421851699e+001°)
3.46736850452534e+003	(2.15836243258093e+001dB,5.69517654952811e-004°)	(8.15313759023178e+001dB,9.02179267020867e+001°)
3.63078054770104e+003	(2.15836243587600e+001dB,5.43886039547188e-004°)	(8.11313829864911e+001dB,9.02052734442273e+001°)
3.80189396320564e+003	(2.15836243888114e+001dB,5.19407920742373e-004°)	(8.07313894248944e+001dB,9.01930555757725e+001°)
3.98107170553500e+003	(2.15836244162187e+001dB,4.96031397632271e-004°)	(8.03313952721806e+001dB,9.01812471839812e+001°)
4.16869383470338e+003	(2.15836244412145e+001dB,4.73706903302250e-004°)	(7.99314005779854e+001dB,9.01698232242827e+001°)
4.36515832240169e+003	(2.15836244640110e+001dB,4.52387100031797e-004°)	(7.95314053873481e+001dB,9.01587594672044e+001°)
4.57088189614878e+003	(2.15836244848018e+001dB,4.32026779181620e-004°)	(7.91314097410938e+001dB,9.01480324470210e+001°)
4.78630092322642e+003	(2.15836245037632e+001dB,4.12582765558534e-004°)	(7.87314136761803e+001dB,9.01376194120183e+001°)
5.01187233627276e+003	(2.15836245210562e+001dB,3.94013826060213e-004°)	(7.83314172260117e+001dB,9.01274982762675e+001°)
5.24807460249776e+003	(2.15836245368277e+001dB,3.76280582410327e-004°)	(7.79314204207217e+001dB,9.01176475728064e+001°)
5.49540873857628e+003	(2.15836245512114e+001dB,3.59345427802712e-004°)	(7.75314232874295e+001dB,9.01080464081308e+001°)
5.75439937337161e+003	(2.15836245643296e+001dB,3.43172447281040e-004°)	(7.71314258504701e+001dB,9.00986744178984e+001°)
6.02559586074362e+003	(2.15836245762935e+001dB,3.27727341687929e-004°)	(7.67314281316007e+001dB,9.00895117237529e+001°)
