v1	I(R2)
6.200000000000003e-001	6.210687e-003
6.300000000000003e-001	6.160382e-003
6.400000000000004e-001	6.110279e-003
6.500000000000004e-001	6.060378e-003
6.600000000000004e-001	6.010679e-003
6.700000000000004e-001	5.961181e-003
6.800000000000004e-001	5.911884e-003
6.900000000000004e-001	5.862790e-003
7.000000000000004e-001	5.813897e-003
7.100000000000004e-001	5.765206e-003
7.200000000000004e-001	5.716717e-003
7.300000000000004e-001	5.668430e-003
7.400000000000004e-001	5.620345e-003
7.500000000000004e-001	5.572462e-003
7.600000000000005e-001	5.524781e-003
7.700000000000005e-001	5.477302e-003
7.800000000000005e-001	5.430026e-003
7.900000000000005e-001	5.382951e-003
8.000000000000005e-001	5.336079e-003
8.100000000000005e-001	5.289409e-003
8.200000000000005e-001	5.242941e-003
8.300000000000005e-001	5.196676e-003
8.400000000000005e-001	5.150612e-003
8.500000000000005e-001	5.104752e-003
8.600000000000005e-001	5.059094e-003
8.700000000000006e-001	5.013639e-003
8.800000000000006e-001	4.968386e-003
8.900000000000006e-001	4.923335e-003
9.000000000000006e-001	4.878488e-003
9.100000000000006e-001	4.833843e-003
9.200000000000006e-001	4.789400e-003
9.300000000000006e-001	4.745161e-003
9.400000000000006e-001	4.701125e-003
9.500000000000006e-001	4.657291e-003
9.600000000000006e-001	4.613660e-003
9.700000000000006e-001	4.570232e-003
9.800000000000007e-001	4.527007e-003
9.900000000000007e-001	4.483985e-003
1.000000000000001e+000	4.441166e-003
1.010000000000001e+000	4.398551e-003
1.020000000000001e+000	4.356138e-003
1.030000000000001e+000	4.313929e-003
1.040000000000001e+000	4.271923e-003
1.050000000000001e+000	4.230120e-003
1.060000000000001e+000	4.188520e-003
1.070000000000001e+000	4.147124e-003
1.080000000000001e+000	4.105931e-003
1.090000000000001e+000	4.064942e-003
1.100000000000001e+000	4.024156e-003
1.110000000000001e+000	3.983574e-003
1.120000000000001e+000	3.943195e-003
1.130000000000001e+000	3.903019e-003
1.140000000000001e+000	3.863048e-003
1.150000000000001e+000	3.823279e-003
1.160000000000001e+000	3.783715e-003
1.170000000000001e+000	3.744354e-003
1.180000000000001e+000	3.705198e-003
1.190000000000001e+000	3.666245e-003
1.200000000000001e+000	3.627495e-003
1.210000000000001e+000	3.588950e-003
1.220000000000001e+000	3.550609e-003
1.230000000000001e+000	3.512471e-003
1.240000000000001e+000	3.474538e-003
1.250000000000001e+000	3.436809e-003
1.260000000000001e+000	3.399283e-003
1.270000000000001e+000	3.361962e-003
1.280000000000001e+000	3.324845e-003
1.290000000000001e+000	3.287933e-003
1.300000000000001e+000	3.251224e-003
1.310000000000001e+000	3.214719e-003
1.320000000000001e+000	3.178420e-003
1.330000000000001e+000	3.142324e-003
1.340000000000001e+000	3.106433e-003
1.350000000000001e+000	3.070746e-003
1.360000000000001e+000	3.035263e-003
1.370000000000001e+000	2.999985e-003
1.380000000000001e+000	2.964912e-003
1.390000000000001e+000	2.930043e-003
1.400000000000001e+000	2.895378e-003
1.410000000000001e+000	2.860918e-003
1.420000000000001e+000	2.826663e-003
1.430000000000001e+000	2.792613e-003
1.440000000000001e+000	2.758767e-003
1.450000000000001e+000	2.725126e-003
1.460000000000001e+000	2.691690e-003
1.470000000000001e+000	2.658459e-003
1.480000000000001e+000	2.625433e-003
1.490000000000001e+000	2.592611e-003
1.500000000000001e+000	2.559994e-003
1.510000000000001e+000	2.527583e-003
1.520000000000001e+000	2.495376e-003
1.530000000000001e+000	2.463375e-003
1.540000000000001e+000	2.431578e-003
1.550000000000001e+000	2.399987e-003
1.560000000000001e+000	2.368600e-003
1.570000000000001e+000	2.337419e-003
1.580000000000001e+000	2.306443e-003
1.590000000000001e+000	2.275673e-003
1.600000000000001e+000	2.245107e-003
1.610000000000001e+000	2.214747e-003
1.620000000000001e+000	2.184592e-003
1.630000000000001e+000	2.154643e-003
1.640000000000001e+000	2.124899e-003
1.650000000000001e+000	2.095360e-003
1.660000000000001e+000	2.066027e-003
1.670000000000001e+000	2.036899e-003
1.680000000000001e+000	2.007977e-003
1.690000000000001e+000	1.979260e-003
1.700000000000001e+000	1.950749e-003
1.710000000000001e+000	1.922444e-003
1.720000000000001e+000	1.894344e-003
1.730000000000001e+000	1.866450e-003
1.740000000000001e+000	1.838762e-003
1.750000000000001e+000	1.811279e-003
1.760000000000001e+000	1.784003e-003
1.770000000000001e+000	1.756932e-003
1.780000000000001e+000	1.730066e-003
1.790000000000001e+000	1.703407e-003
1.800000000000001e+000	1.676954e-003
1.810000000000001e+000	1.650706e-003
1.820000000000001e+000	1.624665e-003
1.830000000000001e+000	1.598829e-003
1.840000000000001e+000	1.573200e-003
1.850000000000001e+000	1.547776e-003
1.860000000000001e+000	1.522559e-003
1.870000000000001e+000	1.497548e-003
1.880000000000001e+000	1.472743e-003
1.890000000000002e+000	1.448144e-003
1.900000000000002e+000	1.423751e-003
1.910000000000002e+000	1.399564e-003
1.920000000000002e+000	1.375584e-003
1.930000000000002e+000	1.351810e-003
1.940000000000002e+000	1.328242e-003
1.950000000000002e+000	1.304881e-003
1.960000000000002e+000	1.281726e-003
1.970000000000002e+000	1.258777e-003
1.980000000000002e+000	1.236035e-003
1.990000000000002e+000	1.213499e-003
2.000000000000001e+000	1.191170e-003
2.010000000000001e+000	1.169047e-003
2.020000000000001e+000	1.147131e-003
2.030000000000001e+000	1.125421e-003
2.040000000000001e+000	1.103918e-003
2.050000000000000e+000	1.082621e-003
2.060000000000000e+000	1.061532e-003
2.070000000000000e+000	1.040648e-003
2.080000000000000e+000	1.019972e-003
2.089999999999999e+000	9.995021e-004
2.099999999999999e+000	9.792391e-004
2.109999999999999e+000	9.591828e-004
2.119999999999999e+000	9.393333e-004
2.129999999999999e+000	9.196907e-004
2.139999999999998e+000	9.002549e-004
2.149999999999998e+000	8.810260e-004
2.159999999999998e+000	8.620040e-004
2.169999999999998e+000	8.431889e-004
2.179999999999998e+000	8.245808e-004
2.189999999999997e+000	8.061796e-004
2.199999999999997e+000	7.879855e-004
2.209999999999997e+000	7.699984e-004
2.219999999999997e+000	7.522182e-004
2.229999999999996e+000	7.346452e-004
2.239999999999996e+000	7.172793e-004
2.249999999999996e+000	7.001206e-004
2.259999999999996e+000	6.831689e-004
2.269999999999996e+000	6.664245e-004
2.279999999999995e+000	6.498873e-004
2.289999999999995e+000	6.335572e-004
2.299999999999995e+000	6.174344e-004
2.309999999999995e+000	6.015189e-004
2.319999999999995e+000	5.858107e-004
2.329999999999994e+000	5.703098e-004
2.339999999999994e+000	5.550162e-004
2.349999999999994e+000	5.399300e-004
2.359999999999994e+000	5.250512e-004
2.369999999999993e+000	5.103798e-004
2.379999999999993e+000	4.959158e-004
2.389999999999993e+000	4.816593e-004
2.399999999999993e+000	4.676102e-004
2.409999999999993e+000	4.537686e-004
2.419999999999992e+000	4.401346e-004
2.429999999999992e+000	4.267081e-004
2.439999999999992e+000	4.134891e-004
2.449999999999992e+000	4.004778e-004
2.459999999999992e+000	3.876741e-004
2.469999999999991e+000	3.750779e-004
2.479999999999991e+000	3.626895e-004
2.489999999999991e+000	3.505087e-004
2.499999999999991e+000	3.385356e-004
2.509999999999991e+000	3.267702e-004
2.519999999999990e+000	3.152125e-004
2.529999999999990e+000	3.038626e-004
2.539999999999990e+000	2.927204e-004
2.549999999999990e+000	2.817861e-004
2.559999999999989e+000	2.710596e-004
2.569999999999989e+000	2.605409e-004
2.579999999999989e+000	2.502301e-004
2.589999999999989e+000	2.401271e-004
